branch_id,branch_code,branch_name,parent_branch_id,address,opened_date,is_active,created_at
1,HQ001,本部,,東京都中央区銀座2-3-4,2017-01-02,true,2017-01-02 13:26:17
2,BR001,東京本店,1,東京都港区六本木3-1-2,2017-02-04,true,2017-02-04 22:32:17
3,BR002,大阪本店,1,東京都新宿区西新宿2-8-1,2012-11-13,true,2012-11-13 02:15:44
4,BR003,渋谷支店,2,東京都渋谷区道玄坂1-9-2,2010-07-07,false,2010-07-07 16:41:25
5,BR004,新宿支店,2,東京都目黒区中目黒1-4-5,2017-09-27,true,2017-09-27 07:09:21
6,BR005,横浜支店,2,大阪府大阪市北区梅田1-1-3,2022-06-06,true,2022-06-06 10:49:03
7,BR006,千葉支店,2,大阪府大阪市中央区難波5-1-60,2013-10-20,true,2013-10-20 22:37:31
8,BR007,梅田支店,3,神奈川県横浜市西区高島2-19-12,2016-05-18,true,2016-05-18 02:03:33
9,BR008,難波支店,3,愛知県名古屋市中村区名駅1-1-4,2010-05-03,true,2010-05-03 04:55:13
10,BR009,京都支店,3,福岡県福岡市中央区天神2-14-13,2016-02-19,true,2016-02-19 21:26:48
11,BR010,名古屋支店,1,北海道札幌市中央区大通西4-1,2016-01-06,true,2016-01-06 01:54:08
12,BR011,福岡支店,1,京都府京都市下京区烏丸通四条下る5,2018-12-05,true,2018-12-05 07:33:48
