branch_id,branch_code,branch_name,parent_branch_id,address,opened_date,is_active,created_at
1,HQ001,本部,,東京都中央区銀座2-3-4,2012-10-07,true,2012-10-07 10:01:18
2,BR001,東京本店,1,東京都港区六本木3-1-2,2014-01-09,true,2014-01-09 10:24:47
3,BR002,大阪本店,1,東京都新宿区西新宿2-8-1,2012-03-09,true,2012-03-09 06:28:15
4,BR003,渋谷支店,2,東京都渋谷区道玄坂1-9-2,2012-06-24,true,2012-06-24 09:53:56
5,BR004,新宿支店,2,東京都目黒区中目黒1-4-5,2016-02-18,true,2016-02-18 12:37:26
6,BR005,横浜支店,2,大阪府大阪市北区梅田1-1-3,2014-10-08,true,2014-10-08 09:05:15
7,BR006,千葉支店,2,大阪府大阪市中央区難波5-1-60,2021-12-21,true,2021-12-21 16:10:20
8,BR007,梅田支店,3,神奈川県横浜市西区高島2-19-12,2019-06-02,true,2019-06-02 08:55:15
9,BR008,難波支店,3,愛知県名古屋市中村区名駅1-1-4,2020-06-23,true,2020-06-23 00:48:57
10,BR009,京都支店,3,福岡県福岡市中央区天神2-14-13,2017-03-19,true,2017-03-19 07:05:37
11,BR010,名古屋支店,1,北海道札幌市中央区大通西4-1,2017-10-27,true,2017-10-27 08:40:43
12,BR011,福岡支店,1,京都府京都市下京区烏丸通四条下る5,2011-08-12,true,2011-08-12 18:34:31
13,BR012,札幌支店,1,兵庫県神戸市中央区三宮町1-1-1,2020-06-24,true,2020-06-24 18:37:33
14,BR013,仙台支店,1,宮城県仙台市青葉区中央1-2-3,2018-09-27,true,2018-09-27 22:29:01
15,BR014,広島支店,3,広島県広島市中区基町6-78,2014-06-15,true,2014-06-15 00:58:33
16,BR015,神戸支店,3,東京都千代田区大手町1-1-1,2013-03-15,true,2013-03-15 06:32:14
17,BR016,天王寺支店,3,東京都中央区銀座2-3-4,2019-07-10,true,2019-07-10 20:04:30
18,BR017,鎌倉出張所,6,東京都港区六本木3-1-2,2012-11-17,true,2012-11-17 18:59:49
19,BR018,立川出張所,2,東京都新宿区西新宿2-8-1,2015-06-15,true,2015-06-15 10:01:36
20,BR019,さいたま支店,2,東京都渋谷区道玄坂1-9-2,2016-07-15,true,2016-07-15 16:16:25
