product_id,product_code,product_name,product_kind,unit_price,currency_code,created_at
1,STK001,トヨタ自動車,10,17324.77,JPY,2022-05-05 00:00:00
2,STK002,ソニーグループ,10,43445.96,JPY,2023-09-25 00:00:00
3,STK003,任天堂,10,10142.06,JPY,2019-09-11 00:00:00
4,STK004,三菱UFJフィナンシャル,10,6789.64,JPY,2021-12-10 00:00:00
5,STK005,日立製作所,10,6715.3,JPY,2022-05-31 00:00:00
6,STK006,パナソニック,10,31993.93,JPY,2022-06-01 00:00:00
7,STK007,本田技研工業,10,27430.07,JPY,2023-01-25 00:00:00
8,STK008,NTT,10,31078.23,JPY,2022-08-29 00:00:00
9,STK009,ソフトバンクグループ,10,8099.9,JPY,2020-02-29 00:00:00
10,STK010,武田薬品工業,10,36760.95,JPY,2022-10-25 00:00:00
11,STK011,キーエンス,10,15185.86,JPY,2019-09-14 00:00:00
12,STK012,ファーストリテイリング,10,17427.92,JPY,2019-04-28 00:00:00
13,STK013,東京エレクトロン,10,25334.01,JPY,2023-05-29 00:00:00
14,STK014,信越化学工業,10,20736.35,JPY,2020-08-22 00:00:00
15,STK015,村田製作所,10,19383.75,JPY,2021-11-15 00:00:00
16,STK016,三井住友フィナンシャル,10,30618.25,JPY,2019-03-21 00:00:00
17,STK017,JR東日本,10,1167.32,JPY,2020-03-08 00:00:00
18,STK018,オリエンタルランド,10,13131.27,JPY,2020-11-24 00:00:00
19,STK019,リクルートホールディングス,10,3334.7,JPY,2022-09-18 00:00:00
20,STK020,KDDI,10,33459.97,JPY,2020-12-02 00:00:00
21,BND001,日本国債10年,20,104.0234,JPY,2023-09-27 00:00:00
22,BND002,日本国債20年,20,103.9143,JPY,2023-04-24 00:00:00
23,BND003,日本国債30年,20,100.005,JPY,2021-06-22 00:00:00
24,BND004,米国債5年,20,95.3986,JPY,2023-09-25 00:00:00
25,BND005,米国債10年,20,104.0619,JPY,2020-11-01 00:00:00
26,BND006,豪国債10年,20,96.7352,JPY,2020-03-16 00:00:00
27,BND007,三菱UFJ社債A,20,96.6869,JPY,2023-03-10 00:00:00
28,BND008,三井住友社債B,20,98.8513,JPY,2022-03-28 00:00:00
29,BND009,東京電力社債,20,99.9859,JPY,2021-11-29 00:00:00
30,BND010,政府保証債J1,20,102.8635,JPY,2021-11-01 00:00:00
31,BND011,政府保証債J2,20,101.2861,JPY,2021-10-01 00:00:00
32,BND012,ソフトバンク社債,20,95.2887,JPY,2019-04-04 00:00:00
33,BND013,JR東日本社債,20,99.3323,JPY,2019-04-15 00:00:00
34,BND014,NTT社債,20,104.4666,JPY,2023-03-21 00:00:00
35,BND015,日本郵政社債,20,98.2117,JPY,2020-09-08 00:00:00
36,MFD001,グローバル株式ファンド,30,21808.1877,JPY,2020-09-19 00:00:00
37,MFD002,国内債券ファンド,30,19580.7229,JPY,2023-04-22 00:00:00
38,MFD003,アジアREITファンド,30,13435.5412,JPY,2019-01-25 00:00:00
39,MFD004,テクノロジー集中投信,30,10598.3725,JPY,2019-11-09 00:00:00
40,MFD005,ESGバランスファンド,30,14456.4485,JPY,2020-07-10 00:00:00
41,MFD006,新興国株式ファンド,30,8957.4722,JPY,2021-09-28 00:00:00
42,MFD007,国内中小型株ファンド,30,17325.6569,JPY,2020-02-10 00:00:00
43,MFD008,米国株式インデックス,30,11924.3834,JPY,2019-02-21 00:00:00
44,MFD009,ヘルスケア集中投信,30,12737.5365,JPY,2021-07-03 00:00:00
45,MFD010,グローバルREITファンド,30,11765.646,JPY,2021-09-12 00:00:00
46,MFD011,高配当株ファンド,30,10642.1722,JPY,2021-12-16 00:00:00
47,MFD012,コモディティファンド,30,21890.8977,JPY,2020-11-29 00:00:00
48,MFD013,AI関連株ファンド,30,18299.9637,JPY,2020-08-04 00:00:00
49,MFD014,クリーンエネルギー投信,30,22523.6199,JPY,2020-11-22 00:00:00
50,MFD015,オールカントリー株式,30,22065.6611,JPY,2023-04-01 00:00:00
51,MFD016,為替ヘッジ債券F,30,11175.4951,JPY,2019-02-16 00:00:00
52,MFD017,新興国債券ファンド,30,10817.5727,JPY,2021-04-04 00:00:00
53,MFD018,短期金融F,30,11094.7111,JPY,2023-01-18 00:00:00
54,MFD019,バランス型F,30,11529.2145,JPY,2023-03-03 00:00:00
55,MFD020,アクティブ運用F,30,20247.962,JPY,2021-05-29 00:00:00
56,MFD021,リスク抑制F,30,10673.1334,JPY,2021-09-06 00:00:00
57,MFD022,成長株集中F,30,14256.0174,JPY,2020-01-30 00:00:00
58,MFD023,バリュー株F,30,20704.2664,JPY,2023-11-18 00:00:00
59,MFD024,海外REITF,30,17342.685,JPY,2020-05-26 00:00:00
60,MFD025,国内REITF,30,14177.1637,JPY,2021-04-12 00:00:00
